Name;Joined;Subscriptions
Bill;2015;Little Known Hiss-tories podcast
Pete;2018;Leisure Cats magazine, Little Known Hiss-tories podcast
Bob;2019;email newsletter
Carla;2006;email newsletter, Cat Nips subscription box
Jose;2020;Cat Nips subscription box, Little Known Hiss-tories podcast, Leisure Cats magazine
Ali;2007;email newsletter, Little Known Hiss-tories podcast
Marcus;2019;Leisure Cats Magazine, Little Known Hiss-tories podcast
Tanvi;2017;Little Known Hiss-tories podcast, Cat Nips subscription box
Lian;2008;email newsletter
Arturo;2014;Leisure Cats magazine, email newsletter
Silvia;2009;Little Known Hiss-tories podcast,  Leisure Cats Magazine, email newsletter
Celine;2007;Cat Nips subscription box, Little Known Hiss-tories podcast, Leisure Cats magazine
Omar;2008;Little Known Hiss-tories podcast
Niko;2016;Leisure Cats magazine, Little Known Hiss-tories podcast, Cat Nips subscription box
Remi;2020;Little Known Hiss-tories podcast
Klaus;2013;email newsletter
Estaban;2008;Leisure Cats magazine, email newsletter
Dallas;2019;Cat Nips subscription box, Little Known Hiss-tories podcast, Leisure Cats magazine
Darci;2007;Leisure Cats magazine
Koko;2016;email newsletter, Cat Nips subscription box
Mango;2009;Cat Nips subscription box 
Freya;2020;Leisure Cats magazine, email newsletter
Big Guy;2018;Little Known Hiss-tories podcast
Fluffy;2013;Little Known Hiss-tories podcast, Cat Nips subscription box
Squeaky;2007;Leisure Cats magazine, Little Known Hiss-tories podcast, Cat Nips subscription box
